,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
303,Doctor Who: Twice Upon A Time-2017-12-22,2017-12-22,"223498,00","223498,00",
304,Cuando los Hijos Regresan-2017-12-22,2017-12-22,"2906566,00","2906566,00",
305,BelalÃ„Â±lar-2017-12-22,2017-12-22,"257,00","257,00",
306,Arth: The Destination-2017-12-22,2017-12-22,"13503,00","13503,00",
307,Before I Die-2017-12-22,2017-12-22,"35841,00","35841,00",
308,AcÃ„Â± TatlÃ„Â± EkÃ…Å¸i-2017-12-22,2017-12-22,"1957225,00","1957225,00",
309,Aadu 2-2017-12-22,2017-12-22,"4273904,00","4273904,00",
310,The Lucky Man-2017-12-21,2017-12-21,,,"25015,00"
311,Pitch Perfect 3-2017-12-22,2017-12-22,"185736412,00","80838882,00","104897530,00"
312,Masterpiece-2017-12-21,2017-12-21,"2787298,00","2787298,00",
313,Mca: Middle Class Abbayi-2017-12-21,2017-12-21,"9939186,00","9939186,00",
314,Ji Qi Zhi Xue-2017-07-06,2017-07-06,"47872755,00","47872755,00",
315,Xin Li Zui Zhi Cheng Shi Zhi Guang-2017-12-21,2017-12-21,"35045171,00","35045171,00",
316,Namiya-2017-01-05,2017-01-05,"35327718,00","35288134,00","39584,00"
317,Jumanji: Welcome to the Jungle-2017-12-20,2017-12-20,"961613199,00","557104283,00","404508916,00"
318,El Zoco de la Buri Buri-2017-12-15,2017-12-15,"467,00","467,00",
319,YÃƒÂ´kai Watch 4-2017-12-15,2017-12-15,"18395457,00","18395457,00",
320,Dieses bescheuerte Herz-2017-12-21,2017-12-21,"20096261,00","20096261,00",
321,Das Versprechen-2017-12-15,2017-12-15,,,
322,Unexpectedly Yours-2017-12-15,2017-12-15,"45997,00","45997,00",
323,Super Vacanze di Natale-2017-12-15,2017-12-15,"464275,00","464275,00",
324,Holiday Inn: The New Irving Berlin Musical-2017-12-20,2017-12-20,"14312,00","14312,00",
325,Buttons-2018-12-08,2018-12-08,,,
326,Yuan Qu De Mu Ge-2018-12-07,2018-12-07,"1440000,00","1440000,00",
327,Subrahmanyapuram-2018-12-07,2018-12-07,"1167,00","1167,00",
328,Son Ãƒâ€¡Ã„Â±kÃ„Â±Ã…Å¸-2018-12-07,2018-12-07,"3308,00","3308,00",
329,The Snowman and the Snowdog-2018-12-07,2018-12-07,"51844,00","51844,00",
330,Vox Lux-2018-12-07,2018-12-07,"1283981,00","556862,00","727119,00"
331,Mult v. Kino Vypusk No. 86-2018-12-08,2018-12-08,"101015,00","101015,00",
332,Second Act-2018-12-21,2018-12-21,"63288854,00","24006627,00","39282227,00"
