year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2017;December 14th;Rilu Rilu Fairilu The Movie;422386,00;n/a;422386,00
2017;December 15th;Ai De Pa Si Ka;512000,00;n/a;512000,00
2017;December 13th;Bright;;n/a;
2017;December 12th;A Murder in Mansfield;;n/a;
2017;December 11th;Dolgaya doroga domoy;70,00;n/a;70,00
2017;December 15th;Star Wars Ep. VIII: The Last Jedi;711453759,00;620181382,00;1331635141,00
2017;December 22nd;Along With The Gods: The Two Worlds;105567909,00;1908822,00;107476731,00
2018;December 7th;Divide and Conquer: The Story of Roger Ailes;;38510,00;
2018;December 7th;Les confins du monde;245034,00;n/a;245034,00
2017;December 12th;Apache Warrior;;n/a;
2018;December 7th;The Coming Back Out Ball Movie;7072,00;n/a;7072,00
2017;December 14th;Gangcheolbi;33276122,00;n/a;33276122,00
2018;December 7th;Chaco;489,00;n/a;489,00
2017;December 20th;The Greatest Showman;259266004,00;174340174,00;433606178,00
2018;December 7th;Central Park;;n/a;
2018;December 7th;La boya;5013,00;n/a;5013,00
2018;December 7th;Ã„Å’ertÃƒÂ­ brko;1641333,00;n/a;1641333,00
2018;December 7th;Bernie The Dolphin;18119,00;n/a;18119,00
2018;December 7th;Ben is Back;8913813,00;3703182,00;12616995,00
2018;December 7th;Bizim Ã„Â°ÃƒÂ§in Ã…Å¾ampiyon;6003561,00;n/a;6003561,00
2018;December 7th;Banjara: The Truck Driver;49757,00;n/a;49757,00
2018;December 7th;Back Roads;;n/a;
2018;December 7th;AstÃƒÂ©rix: Le secret de la potion magique;73237594,00;n/a;73237594,00
2018;December 7th;Asher;;n/a;
2018;December 7th;The Belly of the Whale;9626,00;n/a;9626,00
2018;December 7th;Apuntes para una pelÃƒÂ­cula de atracos;12023,00;n/a;12023,00
2018;December 6th;Zapovednik;166535,00;n/a;166535,00
2018;December 6th;UchÃƒÂ» Sentai KyuurenjÃƒÂ¢ tai SupÃƒÂªsu Sukuwaddo;60372,00;n/a;60372,00
2018;December 6th;Twiceland;136516,00;n/a;136516,00
2018;December 6th;Tabaluga;4835711,00;n/a;4835711,00
2018;December 6th;La prima pietra;420807,00;n/a;420807,00
2018;December 6th;Sem par nechistikh;12029,00;n/a;12029,00
2018;December 6th;Santiago, Italia;1106813,00;n/a;1106813,00
2017;December 8th;Tueurs;309477,00;n/a;309477,00
2017;December 8th;Stebuklas;97649,00;n/a;97649,00
2017;December 8th;Stars 80, la Suite;1978927,00;n/a;1978927,00
2017;December 8th;Los sentidos;1962,00;n/a;1962,00
2017;December 15th;Qi Man Dun Jia;46139046,00;124187,00;46263233,00
2017;December 8th;Richie;10815,00;n/a;10815,00
2018;December 7th;All You Need is Love;3565259,00;n/a;3565259,00
2017;December 8th;The Rape of Recy Taylor;7729,00;n/a;7729,00
2017;December 8th;Un pueblo hecho canciÃƒÂ³n;645,00;n/a;645,00
2017;December 8th;The Pirates Of Somalia;26421,00;n/a;26421,00
2017;December 8th;Santa & Cie;18481089,00;n/a;18481089,00
2017;December 8th;Ãƒâ€“teki Taraf;1197507,00;n/a;1197507,00
2017;December 8th;Zhgi!;313100,00;n/a;313100,00
2017;December 8th;November Criminals;;n/a;
2017;December 8th;On Adim;251,00;n/a;251,00
2017;December 8th;National Theatre Live: Young Marx;716418,00;n/a;716418,00
2017;December 8th;Maide'nin AltÃ„Â±n GÃƒÂ¼nÃƒÂ¼;2512221,00;n/a;2512221,00
2017;August 24th;Makala;127277,00;n/a;127277,00
2017;December 8th;Lerd;915073,00;n/a;915073,00
2017;December 8th;Royal Opera House: The Nutcracker;1635471,00;n/a;1635471,00
2017;December 8th;The North of Peking;143865,00;n/a;143865,00
2017;December 8th;Just Getting Started;686807,00;6069605,00;6756412,00
2017;December 8th;Jia Ru Wang Zi Shui Zhao Le;828455,00;n/a;828455,00
2018;December 6th;Libenjyeo;20699,00;n/a;20699,00
2017;December 8th;Llueven Vacas;4777,00;n/a;4777,00
2018;December 6th;First Kiss;368097,00;n/a;368097,00
2017;December 8th;Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu Fainaru: Birudo ando Eguzeido wizu Rejendo RaidÃƒÂ¢;10289397,00;n/a;10289397,00
2018;December 6th;Hope of Road;255779,00;n/a;255779,00
2018;December 6th;ClaraÃ¢â‚¬â„¢s Ghost;;n/a;
2018;December 6th;AmÃƒÂ¡;;n/a;
2018;December 6th;Beongaemaenui bimil;352891,00;n/a;352891,00
2018;December 6th;100 Dinge;13946006,00;n/a;13946006,00
2018;December 21st;Aquaman;808696893,00;335061807,00;1143758700,00
2018;December 6th;Jinsei furÃƒÂ»tsu;471514,00;n/a;471514,00
2018;December 5th;Tyrel;;21456,00;
2018;December 14th;Mortal Engines;69529231,00;15951040,00;85480271,00
2018;December 5th;Running Man;1264724,00;n/a;1264724,00
2018;December 1st;Life Is A Belief;173603,00;n/a;173603,00
2018;November 30th;Water Lilies of Monet - The magic of water and light;546584,00;n/a;546584,00
2018;December 4th;Dog 13;7448509,00;n/a;7448509,00
2018;November 30th;Waiting For Me In Heaven;60326,00;n/a;60326,00
2018;November 30th;Until Judge Do Us Apart;2985,00;n/a;2985,00
2018;November 30th;Vision;114150,00;n/a;114150,00
2018;November 30th;Tus desperdicios y otros manjares;127,00;n/a;127,00
2018;December 4th;Slay Belles;;n/a;
2017;December 8th;I am Evidence;1145,00;n/a;1145,00
2017;December 8th;I, Tonya;23782875,00;30014534,00;53797409,00
2017;December 8th;Hollow in the Land;;n/a;
2017;December 8th;Gogita's New Life;3084,00;n/a;3084,00
2018;November 30th;Tiger;;n/a;
2018;December 5th;Doeorak;11366235,00;n/a;11366235,00
2018;November 30th;Un Giorno All'Improvviso;31298,00;n/a;31298,00
2017;December 8th;Gek Van Geluk;1440342,00;n/a;1440342,00
2017;May 4th;Les Gardiennes;3989872,00;177331,00;4167203,00
2017;December 8th;From The Ground Up;;n/a;
2017;December 8th;GalpÃƒÂ³n De MÃƒÂ¡scaras;374,00;n/a;374,00
2017;December 8th;Forbidden;1679,00;n/a;1679,00
2017;December 8th;Fukrey Returns;16101765,00;n/a;16101765,00
2017;December 8th;Fe de Etarras;12498,00;n/a;12498,00
2017;December 8th;DÃ…Â­vka za baloncheta;402330,00;n/a;402330,00
2017;December 15th;Ferdinand;205428533,00;84410380,00;289838913,00
2017;December 8th;Fan Zha Feng Bao;8595808,00;n/a;8595808,00
2017;December 8th;Destiny: Kamakura Monogatari;35099354,00;n/a;35099354,00
2017;December 8th;Cometa El, su Perro y su Mundo;122916,00;n/a;122916,00
2017;December 15th;Fang Hua;225197313,00;1891956,00;227089269,00
2017;December 8th;Bullet Head;153930,00;n/a;153930,00
2017;December 8th;Cemento: El Documental;4077,00;n/a;4077,00
2017;December 8th;Askeladden Ã¢â‚¬â€œ I Dovregubbens Hall;292147,00;n/a;292147,00
2017;December 7th;Sermon on the Mount;357435,00;n/a;357435,00
2017;December 8th;Cho-haeng;37810,00;n/a;37810,00
2018;November 30th;Surviving Christmas with the Relatives;36805,00;n/a;36805,00
2018;November 30th;Smart Christmas;179613,00;n/a;179613,00
2018;November 30th;Sky Stream;2789574,00;n/a;2789574,00
2018;November 30th;Royal Opera House: The Nutcracker;1512712,00;n/a;1512712,00
2018;November 30th;Sauver ou pÃƒÂ©rir;8123617,00;n/a;8123617,00
2018;November 30th;Quinqui Stars;9409,00;n/a;9409,00
2018;November 30th;Song of Back and Neck;;n/a;
2017;December 8th;And The Winner IsnÃ¢â‚¬â„¢t;;n/a;
2018;November 30th;Route 33;8405,00;n/a;8405,00
2018;November 30th;Plagi Breslau;112734,00;n/a;112734,00
2018;November 30th;PeopleÃ¢â‚¬â„¢s Republic of Desire;;15241,00;
2018;November 30th;Please Remember me;11350,00;n/a;11350,00
2018;November 30th;Mulai;31424,00;n/a;31424,00
2018;November 30th;Miriam miente;785,00;n/a;785,00
2018;November 30th;Louis Theroux: Love Without Limits;95114,00;n/a;95114,00
2018;November 30th;Legend of Tang Dynasty 2;45521268,00;n/a;45521268,00
2018;November 30th;Lola et ses frÃƒÂ¨res;2348186,00;n/a;2348186,00
2018;November 30th;Ovunque proteggimi;88944,00;n/a;88944,00
2018;February 19th;KidÃ…ï¿½ Senshi Gandamu NT;5866131,00;n/a;5866131,00
2018;November 30th;Hotel Explotacion: Las Kellys;300,00;n/a;300,00
2018;November 30th;Hedefim Sensin;4369198,00;n/a;4369198,00
2018;November 30th;Julia y el zorro;2901,00;n/a;2901,00
2018;November 30th;Isabelle;13296,00;n/a;13296,00
2018;November 30th;Head Full of Honey;126595,00;12350,00;138945,00
2018;November 30th;Fantastic Dream Trip;49227,00;n/a;49227,00
2018;November 30th;Ghostbox Cowboy;;n/a;
2017;December 6th;Il Premio;1184346,00;n/a;1184346,00
2017;December 4th;Pororo, Dinosaur Island Adventure;5824076,00;n/a;5824076,00
2017;January 12th;LÃ¢â‚¬â„¢insulte;2349313,00;1000038,00;3349351,00
2017;December 7th;Dolaonda;83132,00;n/a;83132,00
2017;December 1st;Wonder Wheel;12333635,00;1403237,00;13736872,00
2017;December 1st;Wo Yao Xing Fu;2750684,00;n/a;2750684,00
2017;December 1st;A Woman of No Importance;483266,00;n/a;483266,00
2017;December 1st;Viraam;2522,00;n/a;2522,00
2017;December 1st;Vele Hemels Boven de Zevende;591680,00;n/a;591680,00
2017;December 1st;VerÃƒÂ£o Danado;4027,00;n/a;4027,00
2017;December 1st;La Villa;5652066,00;n/a;5652066,00
2017;December 1st;The Tribes of Palos Verdes;;11603,00;
2017;December 1st;Ugly Duckling;177,00;n/a;177,00
2017;December 1st;Umbral;1188,00;n/a;1188,00
2017;December 1st;Tera Intezaar;295700,00;n/a;295700,00
2017;December 1st;Touken Ranbu: Hanamaru - Makuai Kaisouroku;374052,00;n/a;374052,00
2017;December 1st;Tantei wa bar ni iru 3;5589299,00;n/a;5589299,00
2017;December 1st;Thiruttu Payale 2;14378,00;n/a;14378,00
2017;December 1st;Soldier Grandpa;3314,00;n/a;3314,00
2017;December 1st;Solar;948,00;n/a;948,00
2017;December 1st;Thrill Ride;;2226,00;
2018;November 30th;Exterminadores do AlÃƒÂ©m Contra a Loira do Banheiro;213040,00;n/a;213040,00
2018;November 30th;Fake Partner;213273,00;n/a;213273,00
2017;December 1st;SinfonÃƒÂ­a en abril;420,00;n/a;420,00
2018;November 30th;Er Shi Sui;457137,00;n/a;457137,00
2018;November 30th;Durante la tormenta;17361796,00;n/a;17361796,00
2018;May 24th;Diamantino;164872,00;70088,00;234960,00
2018;November 30th;DriverX;;n/a;
2018;November 30th;Chvilky;7718,00;n/a;7718,00
2018;November 30th;BorÃƒÂ§;4618,00;n/a;4618,00
2018;November 30th;Entre dos aguas;156223,00;n/a;156223,00
2018;November 30th;Bolshoi Ballet: Don Quixote;89119,00;n/a;89119,00
2018;March 15th;Bi Bei Shang Geng Bei Shang De Gu Shi;150333552,00;722669,00;151056221,00
2018;November 30th;Blood Brother;;n/a;
2018;November 30th;Bathtubs Over Broadway;;n/a;
2018;November 30th;Araghe Sard;86880,00;n/a;86880,00
2018;November 30th;Behold my Heart;6180,00;n/a;6180,00
2018;November 30th;2;6871135,00;n/a;6871135,00
2018;November 29th;Vse ili nichego;1421636,00;n/a;1421636,00
2018;November 29th;L'uomo che comprÃƒÂ² la luna;1242952,00;n/a;1242952,00
2018;November 29th;Spitak;51018,00;n/a;51018,00
2018;November 29th;The Seven Deadly Sins: Prisoners of the Sky;73439,00;n/a;73439,00
2018;November 29th;Ride;337046,00;n/a;337046,00
2018;November 29th;Se son rose;4878325,00;n/a;4878325,00
2018;November 29th;Saem;19389,00;n/a;19389,00
2018;November 29th;QuÃƒÂ© LeÃƒÂ³n;;n/a;
2018;November 29th;Provodnik;471360,00;n/a;471360,00
2017;December 1st;Si tu voyais son coeur;3700,00;n/a;3700,00
2017;December 1st;Shadowman;;13498,00;
2017;November 24th;PÃ…â„¢ÃƒÂ¡nÃƒÂ­ k mÃƒÂ¡nÃƒÂ­;316507,00;n/a;316507,00
2017;December 1st;Psychopaths;51075,00;n/a;51075,00
2017;December 1st;Perfectos Desconocidos;31166312,00;n/a;31166312,00
2017;December 1st;Posoki;195050,00;n/a;195050,00
2017;December 1st;The Shape of Water;131931359,00;63859435,00;195790794,00
2017;December 1st;Plonger;184474,00;n/a;184474,00
2017;December 1st;O Fim da InocÃƒÂªncia;536807,00;n/a;536807,00
2017;December 1st;Opera De Paris: Don Carlos;10610,00;n/a;10610,00
2017;December 1st;The New Radical;;n/a;
2017;December 1st;NiÃƒÂ±ato;4847,00;n/a;4847,00
2017;December 1st;Mujeres En Foco Film Festival;2,00;n/a;2,00
2017;September 28th;Maximum Impact;31806,00;n/a;31806,00
2017;December 1st;METALLICA Quebec Magnetic;54770,00;n/a;54770,00
2017;December 1st;Love Beats Rhymes;;n/a;
2017;June 29th;Love, Cecil;1883,00;106057,00;107940,00
2017;October 24th;Life & Nothing More;36890,00;24358,00;61248,00
2017;December 1st;Kvarteto;231230,00;n/a;231230,00
2017;December 1st;Kolovrat;10424668,00;n/a;10424668,00
2017;December 1st;KÃƒÂ¶rfez;7337,00;n/a;7337,00
2017;December 1st;Mao Pai Jian Hu Ren;278865,00;n/a;278865,00
2017;December 1st;Kill Me Please;8242805,00;n/a;8242805,00
2018;November 29th;Meow Wolf: Origin Story;;n/a;
2017;November 17th;Kiwi Christmas;198807,00;n/a;198807,00
2018;November 29th;Mowgli: Legend of the Jungle;;n/a;
2018;November 28th;Respect;15700,00;n/a;15700,00
2017;December 1st;Os ParÃƒÂ§as;6290388,00;n/a;6290388,00
2018;November 28th;Gukgabudoui Nal;27519661,00;n/a;27519661,00
2018;November 28th;From the Mountain a Smile;550000,00;n/a;550000,00
2018;November 27th;Hello Life;693523,00;n/a;693523,00
2018;November 30th;The Possession of Hannah Grace;28037556,00;14836174,00;42873730,00
2018;November 26th;Piripkura;;n/a;
2018;November 24th;Super Kids' Attack;4979,00;n/a;4979,00
2018;November 23rd;Zhong Guo Lan Kui;2585854,00;n/a;2585854,00
2018;November 24th;Mult v. Kino Vypusk No. 85;106847,00;n/a;106847,00
2018;May 3rd;Doubles vies;2794553,00;704919,00;3499472,00
2018;November 23rd;Write When You Get Work;;n/a;
2018;November 23rd;VendrÃƒÂ¡n lluvias suaves;2119,00;n/a;2119,00
2018;November 23rd;Unidad XV;3047,00;n/a;3047,00
2018;May 31st;Yomeddine;69722,00;11308,00;81030,00
2018;November 23rd;Thimiru Pudichavan;2839,00;n/a;2839,00
2018;November 24th;8 Remains;;n/a;
2018;November 23rd;Todas las mujeres que conozco;3206,00;n/a;3206,00
2018;November 23rd;Unga Astrid;840843,00;120486,00;961329,00
2017;December 1st;Jupiter Holdja;51741,00;n/a;51741,00
2017;December 1st;Inoperable;;n/a;
2017;December 1st;KeplerÃ¢â‚¬â„¢s Dream;;n/a;
2017;December 1st;Judge Zhongkui;44028,00;n/a;44028,00
2017;December 1st;The Grudge;886183,00;n/a;886183,00
2017;December 1st;Hagane no Renkinjutsushi;8053641,00;n/a;8053641,00
2017;December 1st;GeÃƒÂ§miÃ…Å¸teki SÃ„Â±r;2108,00;n/a;2108,00
2017;December 1st;Gangster Land;5124,00;n/a;5124,00
2017;December 1st;Firangi;1623686,00;n/a;1623686,00
2017;December 1st;C'est tout pour moi;5521370,00;n/a;5521370,00
2017;December 1st;The Eighth Day of a Week;13739,00;n/a;13739,00
2017;December 1st;Eat Locals;6560,00;n/a;6560,00
2017;December 1st;Drawing Home;;n/a;
2017;December 1st;Camino A Marte;1566750,00;n/a;1566750,00
2017;December 1st;The Disaster Artist;7597051,00;21120616,00;28717667,00
2017;December 1st;Daisy Winters;;n/a;
2017;December 1st;Breaking Brooklyn;;n/a;
2017;December 1st;Dian Di Lian Meng;638695,00;n/a;638695,00
2017;December 1st;Bolshoi Ballet: The Nutcracker;250744,00;n/a;250744,00
2018;November 23rd;Souvenir The Movie - Mariya Takeuchi Theater Live;480066,00;n/a;480066,00
2018;November 23rd;SuperlÃƒÂ³pez;15458332,00;n/a;15458332,00
2018;November 23rd;Seguimi;4755,00;n/a;4755,00
2018;November 23rd;Save My Dogs;142235,00;n/a;142235,00
2018;November 23rd;Ã…Â irdys;285883,00;n/a;285883,00
2018;November 23rd;Strange Colours;13810,00;n/a;13810,00
2018;November 23rd;The Royal Edinburgh Military Tattoo;105947,00;n/a;105947,00
2018;November 23rd;Rang Panjab;8965,00;n/a;8965,00
2018;November 23rd;Put Ã…Å¾eylere;16590,00;n/a;16590,00
2018;December 25th;On the Basis of Sex;14132499,00;24704837,00;38837336,00
2018;November 23rd;Qi Pao Xian Sheng;32405,00;n/a;32405,00
2018;November 23rd;Na stojÃƒÂ¡ka v kinÃ„â€º;5241,00;n/a;5241,00
2018;November 23rd;Mimi a LÃƒÂ­za: ZÃƒÂ¡hada vianoÃ„ï¿½nÃƒÂ©ho svetla;28043,00;n/a;28043,00
2018;November 23rd;Pattinapakkam;17409,00;n/a;17409,00
2018;November 23rd;Milosc jest wszystkim;3053690,00;n/a;3053690,00
2018;November 23rd;Nativity Rocks!;4121839,00;n/a;4121839,00
2018;November 23rd;Maniac Tales;155,00;n/a;155,00
2018;November 23rd;Marriage Palace;34335,00;n/a;34335,00
2018;November 23rd;Mauvaises herbes;3067900,00;n/a;3067900,00
2018;November 23rd;El Misterio del Padre PÃƒÂ­o;178784,00;n/a;178784,00
2017;December 1st;Badsville;;4153,00;
2017;December 1st;Big Time;;7347,00;
2017;December 1st;Aska Geldik;2924,00;n/a;2924,00
2017;December 1st;Another Wolfcop;;n/a;
2017;December 1st;Annadurai;4121,00;n/a;4121,00
2017;December 1st;Al Desierto;9644,00;n/a;9644,00
2017;December 1st;Aile ArasÃ„Â±nda;15665230,00;n/a;15665230,00
2017;December 1st;Alien Invasion: S.U.M.1;;n/a;
2017;December 1st;32 Pills: My SisterÃ¢â‚¬â„¢s Suicide;;n/a;
2017;November 30th;Smetto quando voglio - Ad Honorem;2990409,00;n/a;2990409,00
2017;March 16th;12 jours;710087,00;2633,00;712720,00
2017;November 30th;Konvert;139595,00;n/a;139595,00
2017;November 30th;Breathing;289527,00;n/a;289527,00
2017;November 30th;Kolobanga. Privet, Internet!;379371,00;n/a;379371,00
2017;November 30th;A Bad Idea Gone Wrong;;n/a;
2017;November 30th;Ona;72909,00;n/a;72909,00
2017;November 30th;Amori Che Non Sanno Stare al Mondo;371385,00;n/a;371385,00
2017;November 30th;Agagil;42424,00;n/a;42424,00
2017;November 29th;Naples Ã¢â‚¬Ëœ44;;24616,00;
2016;2016 (Limited) by ;Stage V;;n/a;
2016;2016 (Limited) by ;No Beast So Fierce;;n/a;
2016;December 30th;VÃ…Â¡echno nebo nic;1515221,00;n/a;1515221,00
2016;December 30th;La Trilogie Marseillaise;;24787,00;
2016;December 30th;Super Kindergarten;290308,00;n/a;290308,00
2017;December 1st;Slumber;1046151,00;n/a;1046151,00
2016;December 30th;Vier Gegen die Bank;9165727,00;n/a;9165727,00
2016;December 30th;She's From Another Planet;17869,00;n/a;17869,00
2016;December 30th;Pooh - L'ultimo Concerto;465079,00;n/a;465079,00
2018;November 23rd;The London Palladium: The King And I;2692737,00;n/a;2692737,00
2018;November 23rd;Lemonade;208444,00;5979,00;214423,00
2018;November 23rd;Kazokuiro;1466815,00;n/a;1466815,00
2018;November 23rd;Juzni Vetar;233559,00;n/a;233559,00
2018;November 23rd;Jumpman;18734,00;n/a;18734,00
2018;November 23rd;Jaulas;13587,00;n/a;13587,00
2018;November 23rd;Invisible Hands;;1034,00;
2018;April 12th;Les Filles du Soleil;161091,00;7801,00;168892,00
2018;November 23rd;Hillbilly;;n/a;
2018;November 23rd;I Used To Be Normal;4917,00;n/a;4917,00
2018;November 23rd;Grandma's Home;35189,00;n/a;35189,00
2018;March 8th;Ferrante Fever;3383,00;11137,00;14520,00
2017;November 24th;Zhui bu;18339343,00;n/a;18339343,00
2018;November 23rd;The Favourite;61505365,00;34366783,00;95872148,00
2017;November 25th;Your Rock;51747,00;n/a;51747,00
2017;November 24th;Wan Ming Da Shi;12536,00;n/a;12536,00
2017;November 24th;What Happened in Vegas;;n/a;
2018;November 23rd;Leal, solo hay una forma de vivir;1164,00;n/a;1164,00
2018;March 22nd;Dragged Across Concrete;422006,00;n/a;422006,00
2017;November 24th;Tui Li Bi Ji;1556202,00;n/a;1556202,00
2017;November 24th;Yin Bao Zhe;7618024,00;118384,00;7736408,00
2017;November 24th;Totem;51247,00;n/a;51247,00
2017;November 16th;Tierra Firme;95471,00;n/a;95471,00
2017;November 24th;The Stolen;27632,00;n/a;27632,00
2017;November 24th;Spirit Touch Seventh Senses;416698,00;n/a;416698,00
2017;November 24th;Shakespeare's Globe Live: King Lear;5121,00;n/a;5121,00
2017;November 24th;Sofichka;2617,00;n/a;2617,00
2017;November 24th;El Sereno;4418,00;n/a;4418,00
2017;November 24th;Poilsiautojai: Pavydo Ã…Â¾aidynÃ„â€”s;332020,00;n/a;332020,00
2017;November 24th;Soy tu karma;11547,00;n/a;11547,00
2017;November 24th;#Starvecrow;795,00;n/a;795,00
2017;November 24th;Mental Madhilo;3436,00;n/a;3436,00
2017;November 24th;Medzi nami;2696,00;n/a;2696,00
2017;November 24th;La Noche Mas FrÃƒÂ¬a;13472,00;n/a;13472,00
2016;December 30th;Ni Hao Feng Zi;2197630,00;n/a;2197630,00
2017;November 24th;Morg;22846,00;n/a;22846,00
2017;November 24th;Long Live Bulgaria;920,00;n/a;920,00
2016;December 30th;Na mlecnom putu;1034643,00;n/a;1034643,00
2016;December 30th;NasÃ„Â±l Yani;17280,00;n/a;17280,00
2016;December 30th;Motor Mitraan Di;21148,00;n/a;21148,00
2017;March 30th;Marvin ou la belle ÃƒÂ©ducation;821387,00;3420,00;824807,00
2016;December 30th;The Journey Home;338690,00;n/a;338690,00
2017;November 24th;Love Ni Bhavai;25267,00;n/a;25267,00
2016;December 30th;Inhebek Hedi;316803,00;n/a;316803,00
2016;December 30th;Le coeur en braille;803890,00;n/a;803890,00
2016;December 30th;Diamond Island;81613,00;n/a;81613,00
2016;December 30th;Berliner Philharmoniker Live 2016 - New Year's Gala Concert;63116,00;n/a;63116,00
2016;December 30th;Ba ba De 3 Ci Hun Li;101339,00;n/a;101339,00
2016;December 30th;Cherry Returns;4878197,00;n/a;4878197,00
